source_sectors,n
Government,298786
"Government,Police",257581
"General Population / Civilian / Social,Social",162215
"Government,Military",161982
"Social,General Population / Civilian / Social",159719
"Military,Government",140683
Unidentified Forces,118885
"Government,Legislative / Parliamentary",65388
"Legislative / Parliamentary,Government",55992
"Dissident,Protestors / Popular Opposition / Mobs",43293
"Protestors / Popular Opposition / Mobs,Dissident",42256
Elite,36756
"Dissident,Rebel",33918
"Government,Elite",31996
"Government,Executive,Foreign Ministry",31711
"Elite,Government",30830
"Executive,Government,Executive Office",30484
"Rebel,Dissident",29916
"Executive Office,Government,Executive",29172
"Government,Executive Office,Executive",28402
"Foreign Ministry,Executive,Government",28193
"Government,Foreign Ministry,Executive",27811
"Executive,Executive Office,Government",26745
"Executive,Government,Foreign Ministry",23169
"Executive,Foreign Ministry,Government",22343
"Government,Executive,Executive Office",19264
"Foreign Ministry,Government,Executive",16523
"Executive Office,Executive,Government",16215
"Government,Cabinet,Executive",15056
"International Government Organization,Regional,Regional Diplomatic IGOs",12984
"Executive,Elite,Government,Executive Office",12813
"Government,Executive Office,Executive,Elite",12514
"Executive,Government,Executive Office,Elite",12261
"Elite,Executive,Executive Office,Government",11088
"Executive Office,Government,Executive,Elite",10697
"Dissident,Separatists",10437
"Elite,Executive,Government,Executive Office",10185
"International Government Organization,Regional Diplomatic IGOs,Regional",10010
"Executive Office,Government,Elite,Executive",9934
"Government,Executive,Executive Office,Elite",9184
"Separatists,Dissident",8775
"Elite,Government,Executive Office,Executive",8493
"Elite,Executive Office,Government,Executive",8477
"Executive,Elite,Executive Office,Government",8472
"International Government Organization,Global,Global Diplomatic IGOs",8470
"Global Diplomatic IGOs,International Government Organization,Global",8154
"Government,Executive,Defense / Security Ministry",8140
"Regional Diplomatic IGOs,International Government Organization,Regional",8059
"Government,Provincial,Local",8016
"Executive,Executive Office,Government,Elite",7899
"Government,Local,Provincial",7729
"Government,Executive Office,Elite,Executive",7714
"Defense / Security Ministry,Executive,Government",7643
"Executive Office,Elite,Government,Executive",7611
"Executive,Government,Cabinet",7564
"International Government Organization,Global Diplomatic IGOs,Global",7492
"Government,Executive,Cabinet",7240
"Government,Executive,Finance / Economy / Commerce / Trade Ministry",6978
"Executive,Cabinet,Government",6976
"Provincial,Local,Government",6659
"Executive,Executive Office,Elite,Government",6649
"Executive Office,Executive,Elite,Government",6308
"Regional,International Government Organization,Regional Diplomatic IGOs",6234
"Executive,Finance / Economy / Commerce / Trade Ministry,Government",6126
"Executive,Government,Defense / Security Ministry",5811
"Executive Office,Elite,Executive,Government",5740
"International Government Organization,Global,Global Defense / Security IGOs",5730
"Cabinet,Executive,Government",5660
"Elite,Executive Office,Executive,Government",5648
"Executive,Defense / Security Ministry,Government",5509
"Defense / Security Ministry,Government,Executive",5497
"Government,Elite,Executive Office,Executive",5464
"Elite,Government,Executive,Executive Office",5381
"Global,International Government Organization,Global Diplomatic IGOs",5363
"Government,Defense / Security Ministry,Executive",5348
"Executive Office,Executive,Government,Elite",5291
"Government,Executive,Interior / Home Ministry",5252
"Government,Elite,Executive,Executive Office",5125
"Government,Executive,Elite,Executive Office",4639
"Executive,Government,Elite,Executive Office",4614
"Global Defense / Security IGOs,International Government Organization,Global",4334
"Government,Municipal,Local",4273
"Local,Municipal,Government",4212
"Government,Local,Municipal",4141
"Nongovernmental Organizations / Activists,Medical / Health NGOs",3943
"Municipal,Local,Government",3872
"Interior / Home Ministry,Executive,Government",3861
"Government,Legislative / Parliamentary,Upper House",3832
"Provincial,Government,Local",3805
"Executive,Government,Interior / Home Ministry",3558
"Legislative / Parliamentary,Government,Upper House",3479
"Government,Upper House,Legislative / Parliamentary",3446
"Interior / Home Ministry,Government,Executive",3400
"Upper House,Legislative / Parliamentary,Government",3275
"Global,International Government Organization,Global Defense / Security IGOs",3207
