icb2,crisno,cracno,cracid,actor,systrgyr,systrgmo,systrgda,crisname,triggr,yrtrig,motrig,datrig,trigent,trigloc,southv,southpow,sizedu,strcdu,comlev,majres,yerres,monres,dayres,trgresra,crismg,cenvio,sevvio,usinv,usfavr,suinv,sufavr,gbinv,gbfavr,frinv,frfavr,itinv,itfavr,grinv,grfavr,jpinv,jpfavr,globorg,globact,globfavr,regorg,regact,rofavr,outcom,outfor,outevl,outesr,yrterm,moterm,daterm,trgterra,resterra,actloc,geog,cractloc,noactr,stainsys,period,syslev,pc,pcid,viol,iwc,powdis,gpinv,powinv,age,territ,regime,durreg,allycap,globmemb,nuclear,powsta,issue,chissu,gravty,pethin,col,unemp,inflat,foodpr,labstr,short,econdt,regrep,socunr,massvl,gvinst,sourdt
ICB2,1,1,365,RUS,1918,5,,RUSSIAN CIVIL WAR I,9,1918,5,,996,2,220,3,1,1,7,8,1918,5,28,14,8,4,3,7,3,9,8,7,,2,,1,,1,,7,,1,1,1,0,0,0,1,6,2,1,1920,4,1,686,673,30,30,1,7,47,1,2,2,27,3,1,,7,1,1,3,2,1,4,4,1,3,1,4,2,0,1,,1,1,1,1,1,,1,1,1,3
ICB2,2,2,93,NIC,1918,5,25,COSTA RICAN COUP,7,1918,5,25,94,1,94,1,,1,1,3,1918,5,30,6,4,1,1,7,1,1,5,1,5,1,5,1,5,1,5,1,5,1,1,1,1,1,5,1,4,2,2,1918,12,15,205,199,42,42,1,5,47,1,1,2,6,1,1,1,4,1,3,1,2,2,2,4,1,1,1,6,1,0,,,1,,,,,1,,1,2,2
ICB2,2,3,94,COS,1918,5,25,COSTA RICAN COUP,4,1919,1,25,996,2,93,1,,,1,6,1919,1,28,4,4,1,1,7,3,1,5,1,5,1,5,1,5,1,5,1,5,1,1,1,1,1,5,4,4,3,2,1919,9,3,222,218,42,42,1,6,49,1,1,2,6,2,1,-1,4,1,3,1,2,1,1,4,1,1,1,6,2,0,,,1,,,,,1,,1,,2
ICB2,3,4,365,RUS,1918,6,23,RUSSIAN CIVIL WAR II,7,1918,6,23,997,1,200,3,1,1,7,8,1918,7,1,9,8,4,3,3,3,9,8,8,,8,,1,,1,,1,,1,1,1,0,0,0,1,6,2,1,1919,9,27,462,453,30,30,1,5,47,1,2,2,27,3,1,,7,1,1,3,2,1,4,4,1,3,1,4,2,0,1,,1,1,1,1,1,,1,1,1,3
ICB2,4,5,365,RUS,1918,11,18,BALTIC INDEPENDENCE,6,1918,11,18,366,1,366,1,1,1,8,8,1918,11,22,5,8,4,3,3,3,9,8,3,,3,,1,,8,,1,,1,1,1,0,0,0,4,9,3,2,1920,8,11,632,627,30,34,1,8,47,1,2,1,0,3,1,12,7,1,1,3,2,1,4,4,1,3,2,6,3,0,1,,1,1,1,1,1,,1,1,1,3
ICB2,4,6,366,EST,1918,11,18,BALTIC INDEPENDENCE,9,1918,11,22,365,1,365,3,,1,8,9,1918,11,22,1,8,4,3,3,1,8,3,6,,1,,1,,1,,1,,1,1,1,0,0,0,1,8,2,2,1920,2,2,438,438,34,34,2,8,47,1,1,1,0,3,1,-12,7,1,3,1,2,1,2,4,1,1,2,6,6,0,4,4,4,4,4,4,4,4,4,4,4,3
ICB2,4,7,368,LIT,1918,11,18,BALTIC INDEPENDENCE,9,1918,12,,365,1,365,3,,1,8,9,1918,12,,,8,4,3,3,1,8,3,3,,3,,1,,1,,1,,1,1,1,0,0,0,1,8,2,2,1920,7,12,574,574,34,34,2,8,47,1,1,1,0,3,1,-12,7,1,3,1,2,1,2,4,1,1,2,6,6,0,4,4,4,4,4,4,4,4,4,4,4,3
ICB2,4,8,367,LAT,1918,11,18,BALTIC INDEPENDENCE,9,1918,12,,365,1,365,3,,1,8,9,1918,12,,,8,4,3,3,1,8,3,3,,3,,3,,8,,1,,1,1,1,0,0,0,1,8,2,2,1920,8,11,603,603,34,34,2,8,47,1,1,1,0,3,1,-12,7,1,3,1,2,1,2,4,1,1,2,6,6,0,4,4,4,4,4,4,4,4,4,4,4,3
ICB2,5,9,315,CZE,1919,1,15,TESCHEN,2,1919,1,15,290,1,290,2,,1,3,8,1919,1,23,9,8,4,3,3,3,1,5,3,3,3,3,3,3,1,,3,3,1,1,1,0,0,0,2,9,4,2,1920,7,28,560,551,31,31,1,3,49,1,1,1,0,3,1,-1,3,1,3,1,1,1,1,4,1,1,1,6,3,0,4,4,4,4,4,4,4,4,4,4,4,3
ICB2,5,10,290,POL,1919,1,15,TESCHEN,7,1919,1,23,315,1,315,1,,1,3,8,1919,1,23,1,8,4,3,3,3,1,5,3,3,3,3,3,3,1,,3,3,1,1,1,0,0,0,2,9,4,2,1920,7,28,552,552,31,31,1,3,49,1,1,1,0,3,1,1,3,1,3,2,4,1,1,4,1,2,1,6,3,0,4,4,4,4,4,4,4,4,4,4,4,3
ICB2,6,11,310,HUN,1919,3,20,HUNGARIAN WAR,2,1919,3,20,997,1,360,1,3,1,1,8,1919,3,28,9,8,4,4,3,5,3,1,3,,8,,7,,1,,1,,1,1,1,0,0,0,4,6,3,2,1919,8,3,137,128,31,31,2,7,49,1,1,1,0,4,1,,5,1,3,1,2,1,2,4,1,1,1,6,6,0,4,4,4,4,4,4,4,4,4,4,4,3
ICB2,6,12,315,CZE,1919,3,20,HUNGARIAN WAR,9,1919,5,11,310,1,310,1,3,1,,8,1919,5,11,1,8,4,4,1,5,3,3,1,,8,,7,,1,,1,,1,1,1,0,0,0,1,1,2,2,1919,6,24,45,45,31,31,2,7,49,1,1,1,0,4,7,,4,1,3,1,1,1,2,4,1,1,1,6,3,0,4,4,4,4,4,4,4,4,4,4,4,3
ICB2,6,13,310,HUN,1919,3,20,HUNGARIAN WAR,2,1919,6,8,220,1,220,3,3,1,1,1,1919,6,16,9,1,1,1,1,5,1,5,1,,3,,1,,1,,1,,1,1,1,0,0,0,4,7,3,2,1919,6,16,9,1,31,31,2,3,49,1,1,1,0,1,3,,4,1,3,1,2,1,2,4,1,1,1,6,5,0,4,4,4,4,4,4,4,4,4,4,4,3
