crisno,sentence_number_int_aligned,sentence_number_int_aligned_groupmethod,sentence1,sentence2,sentence3,sentence4
3,1,1,"For much of the period of Russian Civil War I in Siberia, Bolshevik Russia experienced another crisis with the Western Allies, in the Arctic region from 23 June 1918 until 27 September 1919.",,,
3,2,2,"Among the wartime Allies, Canada, France, and the U.K. reacted to revolutionary developments in the former czarist empire and in particular to the Brest-Litovsk treaty by landing troops in the two northern Russian ports of Murmansk and Archangelsk beginning on 23 June 1918; the U.S. provided political support.",,,
3,3,3,"This multistate intervention triggered a crisis for Communist Russia which, as in Russian Civil War I, perceived a grave threat to its political system.",,,
3,4,4,"Russia responded almost at once, in serious clashes with British forces and the ""Whites.""",,,
3,5,5,Fighting continued intermittently for 15 months.,,,
3,6,6,The Allies had secured control over the regions around the two northern ports but did not attempt to march on Saint Petersburg; and the Red Army lacked the power to push them into the sea.,,,
3,7,7,The military stalemate and the harsh Russian winter took their toll on the morale of Allied troops.,,,
3,8,8,Their evacuation was scheduled for the spring of 1919; but fighting continued through the summer.,,,
3,9,9,"The withdrawal of Allied forces was completed on 27 September 1919, with Russia the victor by default, as in Russian Civil War I.","The withdrawal of Allied forces was completed on 27 September 1919, with Russia the victor by default, as in Russian Civil War I.There was no global organization at the time of the termination of this crisis.",,
3,10,9,There was no global organization at the time of the termination of this crisis.,,,
47,1,1,"One of the celebrated international crises of the inter-world war period, Ethiopian War, began on 6 December 1934 and lasted until 5 May 1936.","One of the celebrated international crises of the inter-world war period, Ethiopian War, began on 6 December 1934 and lasted until 5 May 1936.","One of the celebrated international crises of the inter-world war period, Ethiopian War, began on 6 December 1934 and lasted until 5 May 1936.",
47,2,2,"There were four crisis actors: Ethiopia, the U.K., France, and Italy.","There were four crisis actors: Ethiopia, the U.K., France, and Italy.","There were four crisis actors: Ethiopia, the U.K., France, and Italy.",
47,3,3,BackgroundItaly's entry into East Africa as a colonial power in the late nineteenth century was made possible by a British objective of reducing French influence in the region.,BackgroundItaly's entry into East Africa as a colonial power in the late nineteenth century was made possible by a British objective of reducing French influence in the region.,Italy's entry into East Africa as a colonial power in the late nineteenth century was made possible by a British objective of reducing French influence in the region.,
47,4,4,Italian expansion continued until their severe defeat by Abyssinian troops at the Battle of Adowa in 1896.,Italian expansion continued until their severe defeat by Abyssinian troops at the Battle of Adowa in 1896.,Italian expansion continued until their severe defeat by Abyssinian (Ethiopian) troops at the Battle of Adowa in 1896.,
47,5,5,Eritrea was transferred to Italy by British royal decree in 1899.,Eritrea was transferred to Italy by British royal decree in 1899.,Eritrea was transferred to Italy by British royal decree in 1899.,
47,6,6,Mussolini's efforts to achieve domination over Ethiopia began as early as 1923.,Mussolini's efforts to achieve domination over Ethiopia began as early as 1923.,Mussolini's efforts to achieve domination over Ethiopia began as early as 1923.,
47,7,7,"In 1928 a Treaty of Friendship was signed; but Ethiopia refused to live up to its conditions, which granted Italy special privileges.","In 1928 a Treaty of Friendship was signed; but Ethiopia refused to live up to its conditions, which granted Italy special privileges.","In 1928 a Treaty of Friendship was signed; but Ethiopia refused to live up to its conditions, which granted Italy special privileges.",
47,8,8,In 1932 Mussolini sent his minister of the colonies to Eritrea to prepare it as a springboard for an invasion of Ethiopia.,In 1932 Mussolini sent his minister of the colonies to Eritrea to prepare it as a springboard for an invasion of Ethiopia.,In 1932 Mussolini sent his minister of the colonies to Eritrea to prepare it as a springboard for an invasion of Ethiopia.,_x000d_
47,9,9,Thereafter roads and military installations in Eritrea were built and strengthened.,Thereafter roads and military installations in Eritrea were built and strengthened.,Thereafter roads and military installations in Eritrea were built and strengthened.,
47,10,10,Incidents occurred on the border as the Ethiopians became more and more apprehensive of Italy's designs.,Incidents occurred on the border as the Ethiopians became more and more apprehensive of Italy's designs.,Incidents occurred on the border as the Ethiopians became more and more apprehensive of Italy's designs.,
47,11,11,"Pre-crisisWal-wal, a watering site in a loosely designated border area between Italian and Ethiopian territory, had been used frequently by tribes from British and Italian Somaliland who wandered freely in the area.","Pre-crisisWal-wal, a watering site in a loosely designated border area between Italian and Ethiopian territory, had been used frequently by tribes from British and Italian Somaliland who wandered freely in the area.","Pre-crisis Wal-wal (Ual-ual), a watering site in a loosely designated border area between Italian and Ethiopian territory, had been used frequently by tribes from British and Italian Somaliland who wandered freely in the area.",
47,12,12,It became the site of an Italian garrison.,It became the site of an Italian garrison.,It became the site of an Italian garrison.,
47,13,13,In November 1934 a British mission surveying the border between British Somaliland and Ethiopia arrived at the wells of Wal-wal with an armed Ethiopian escort.,In November 1934 a British mission surveying the border between British Somaliland and Ethiopia arrived at the wells of Wal-wal with an armed Ethiopian escort.,In November 1934 a British mission surveying the border between British Somaliland and Ethiopia arrived at the wells of Wal-wal with an armed Ethiopian escort.,
47,14,14,"The Italian garrison commander perceived an imminent attack from tribesmen nearby and requested reinforcements, while the British mission withdrew from the area.","The Italian garrison commander perceived an imminent attack from tribesmen nearby and requested reinforcements, while the British mission withdrew from the area.","The Italian garrison commander perceived an imminent attack from tribesmen nearby and requested reinforcements, while the British mission withdrew from the area.",
47,15,15,"On 6 December 1934 Mussolini demanded an unconditional apology, a large indemnity, and punishment of those responsible for an attack by Ethiopian tribesmen against the Italians at Wal-wal the previous day.","On 6 December 1934 Mussolini demanded an unconditional apology, a large indemnity, and punishment of those responsible for an attack by Ethiopian tribesmen against the Italians at Wal-wal the previous day.","On 6 December 1934 Mussolini demanded an unconditional apology, a large indemnity, and punishment of those responsible for an attack by Ethiopian tribesmen against the Italians at Wal-wal the previous day.",
47,16,16,"This triggered a crisis for Ethiopian Emperor Haile Selassie, who claimed that the dispute fell under the arbitration clause of the 1928 Treaty of Friendship.","This triggered a crisis for Ethiopian Emperor Haile Selassie, who claimed that the dispute fell under the arbitration clause of the 1928 Treaty of Friendship.","This triggered a crisis for Ethiopian Emperor Haile Selassie, who claimed that the dispute fell under the arbitration clause of the 1928 Treaty of Friendship.",
47,17,17,The U.K. proposed a conciliatory solution that Italy refused to consider.,The U.K. proposed a conciliatory solution that Italy refused to consider.,The U.K. proposed a conciliatory solution that Italy refused to consider.,The U.K. proposed a conciliatory solution that Italy refused to consider._x000d__x000d_Ethiopia appealed to the League of Nations on 9 December.
47,18,17,Ethiopia appealed to the League of Nations on 9 December.,Ethiopia appealed to the League of Nations on 9 December.,Ethiopia appealed to the League of Nations on 9 December.,
47,19,19,When no progress was forthcoming it requested League intervention on 3 January 1935.,When no progress was forthcoming it requested League intervention on 3 January 1935.,When no progress was forthcoming it requested League intervention on 3 January 1935.,
47,20,20,"The Council encouraged direct negotiations between the parties and, later, arbitration.","The Council encouraged direct negotiations between the parties and, later, arbitration.","The Council encouraged direct negotiations between the parties and, later, arbitration.",
47,21,21,The item was removed from the Council's agenda when Italy agreed to bilateral talks.,The item was removed from the Council's agenda when Italy agreed to bilateral talks.,The item was removed from the Council's agenda when Italy agreed to bilateral talks.,
47,22,22,"However, negotiations began to break down in March in the face of new preconditions by Italy and the buildup of its forces in Eritrea.","However, negotiations began to break down in March in the face of new preconditions by Italy and the buildup of its forces in Eritrea.","However, negotiations began to break down in March in the face of new preconditions by Italy and the buildup of its forces in Eritrea.",
47,23,23,On 17 March and 3 April there were two more Ethiopian appeals to the League.,On 17 March and 3 April there were two more Ethiopian appeals to the League.,On 17 March and 3 April there were two more Ethiopian appeals to the League.,On 17 March and 3 April there were two more Ethiopian appeals to the League._x000d__x000d_France and the U.K. supported Italy's view that the League should await the outcome of pending arbitration.
47,24,23,France and the U.K. supported Italy's view that the League should await the outcome of pending arbitration.,France and the U.K. supported Italy's view that the League should await the outcome of pending arbitration.,France and the U.K. supported Italy's view that the League should await the outcome of pending arbitration.,
47,25,25,"(In an earlier Franco-Italian agreement, 7 January, Paris gave Rome a free hand vis--vis Ethiopia.","(In an earlier Franco-Italian agreement, 7 January, Paris gave Rome a free hand vis--vis Ethiopia.","(In an earlier Franco-Italian agreement, 7 January, Paris gave Rome a free hand vis--vis",Ethiopia.
47,26,26,"France, Italy, and the U.K. met on 11-14 April to form the Stresa Front against Germany.","France, Italy, and the U.K. met on 11-14 April to form the Stresa Front against Germany.","France, Italy, and the U.K. met on 11-14 April to form the Stresa Front against Germany.",
47,27,27,Italy then conceded that it would consent to arbitration with Ethiopia under the 1928 treaty.,Italy then conceded that it would consent to arbitration with Ethiopia under the 1928 treaty.,Italy then conceded that it would consent to arbitration with Ethiopia under the 1928 treaty.,
47,28,28,"Further negotiations between the two adversaries and France and Great Britain centered around the 20 May 1935 League Council meeting, which adopted two resolutions on the timing and form of arbitration: 25 August was designated as the final date for a ruling.","Further negotiations between the two adversaries and France and Great Britain centered around the 20 May 1935 League Council meeting, which adopted two resolutions on the timing and form of arbitration: 25 August was designated as the final date for a ruling.","Further negotiations between the two adversaries and France and Great Britain centered around the 20 May 1935 League Council meeting, which adopted two resolutions on the timing and form of arbitration: 25 August was designated as the final date for a ruling.",
47,29,29,"A U.K. offer of economic concessions to Italy amounting to economic control over Ethiopia and a large part of Ogaden, with an Ethiopian access to the sea through British Somaliland, was refused by Italy in June.","A U.K. offer of economic concessions to Italy amounting to economic control over Ethiopia and a large part of Ogaden, with an Ethiopian access to the sea through British Somaliland, was refused by Italy in June.","A U.K. offer of economic concessions to Italy amounting to economic control over Ethiopia and a large part of Ogaden, with an Ethiopian access to the sea through British Somaliland, was refused by Italy in June.",
47,30,30,"The situation was further aggravated by the signing of an Anglo-German naval agreement in June, which allowed German naval expansion to 35 percent of the size of the British navy.","The situation was further aggravated by the signing of an Anglo-German naval agreement in June, which allowed German naval expansion to 35 percent of the size of the British navy.","The situation was further aggravated by the signing of an Anglo-German naval agreement in June, which allowed German naval expansion to 35 percent of the size of the British navy.","The situation was further aggravated by the signing of an Anglo-German naval agreement in June, which allowed German naval expansion to 35 percent of the size of the British navy._x000d__x000d_A three-power meeting without Ethiopian participation began in August 1935."
47,31,30,A three-power meeting without Ethiopian participation began in August 1935.,A three-power meeting without Ethiopian participation began in August 1935.,A three-power meeting without Ethiopian participation began in August 1935.,
47,32,32,"Italy, which by then had assembled 250,000 troops in East Africa, rejected Anglo-French proposals and refused to state its final demands.","Italy, which by then had assembled 250,000 troops in East Africa, rejected Anglo-French proposals and refused to state its final demands.","Italy, which by then had assembled 250,000 troops in East Africa, rejected Anglo-French proposals and refused to state its final demands.",
47,33,33,Sometime during that month a U.K. perception that Mussolini might attack Britain in retaliation for its support of Ethiopia triggered a crisis for the U.K.In response to a perceived threat of possible war the U.K. reinforced its Mediterranean fleet on 3 September 1935.,"Sometime during that month a U.K. perception that Mussolini might attack Britain in retaliation for its support of Ethiopia triggered a crisis for the U.K. (As early as January 1935 London had informed the emperor that ""no assurances of even the most general and personal nature"" could be given.)","Sometime during that month a U.K. perception that Mussolini might attack Britain in retaliation for its support of Ethiopia triggered a crisis for the U.K. (As early as January 1935 London had informed the emperor that ""no assurances of even the most general and personal nature"" could be given.)_x000d__x000d_",
47,34,33,In response to a perceived threat of possible war the U.K. reinforced its Mediterranean fleet on 3 September 1935.,,,
47,35,34,"It also began negotiations with other Mediterranean states, especially Yugoslavia and Turkey.","It also began negotiations with other Mediterranean states, especially Yugoslavia and Turkey.","It also began negotiations with other Mediterranean states, especially Yugoslavia and Turkey.",
47,36,35,"At the same time, the ""Hoare-Laval Plan"" ruled out Anglo-French military action against Italy.","At the same time, the ""Hoare-Laval Plan"" ruled out Anglo-French military action against Italy.","At the same time, the ""Hoare-Laval Plan"" (see below) ruled out Anglo-French military action against Italy.",
47,37,36,And the British foreign secretary assured Mussolini that the U.K. would not close the Suez Canal to Italian ships or impose economic sanctions.,And the British foreign secretary assured Mussolini that the U.K. would not close the Suez Canal to Italian ships or impose economic sanctions.,And the British foreign secretary assured Mussolini that the U.K. would not close the Suez Canal to Italian ships or impose economic sanctions.,And the British foreign secretary assured Mussolini that the U.K. would not close the Suez Canal to Italian ships or impose economic sanctions._x000d__x000d_
47,38,37,"In early September Ethiopia appealed to the Council once more, under Article 15 of the Covenant.","In early September Ethiopia appealed to the Council once more, under Article 15 of the Covenant.","In early September Ethiopia appealed to the Council once more, under Article 15 of the Covenant.",
47,39,38,"On 9 September a League Committee of Five was appointed to discuss the dispute, as well as Italian claims that Ethiopia was unfit for League membership.","On 9 September a League Committee of Five was appointed to discuss the dispute, as well as Italian claims that Ethiopia was unfit for League membership.","On 9 September a League Committee of Five was appointed to discuss the dispute, as well as Italian claims that Ethiopia was unfit for League membership.",
47,40,39,League observers were requested to witness Italian mobilization and the forward movement of its troops.,League observers were requested to witness Italian mobilization and the forward movement of its troops.,League observers were requested to witness Italian mobilization and the forward movement of its troops.,
47,41,40,And when Ethiopia perceived war as imminent it informed the League on 29 September of its intention to mobilize.,And when Ethiopia perceived war as imminent it informed the League on 29 September of its intention to mobilize.,And when Ethiopia perceived war as imminent it informed the League on 29 September of its intention to mobilize.,
47,42,40,"On 3 October 1935 Italy, the triggering entity for the international crisis as a whole, began a full-scale attack on Ethiopia transforming the incipient crisis over Wal-wal into the Ethiopian War.","On 3 October 1935 Italy, the triggering entity for the international crisis as a whole, began a full-scale attack on Ethiopia transforming the incipient crisis over Wal-wal into the Ethiopian War.","On 3 October 1935 Italy, the triggering entity for the international crisis as a whole, began a full-scale attack on Ethiopia transforming the incipient crisis over Wal-wal into the Ethiopian War.","And when Ethiopia perceived war as imminent it informed the League on 29 September of its intention to mobilize._x000d__x000d_On 3 October 1935 Italy, the triggering entity for the international crisis as a whole, began a full-scale attack on Ethiopia transforming the incipient crisis over Wal-wal into the Ethiopian War."
47,43,42,In addition to military resistance the victim appealed to the League the following day.,In addition to military resistance the victim appealed to the League the following day.,In addition to military resistance the victim appealed to the League the following day.,
47,44,43,"Mussolini justified the war, alleging Ethiopian ""aggression.""","Mussolini justified the war, alleging Ethiopian ""aggression.""","Mussolini justified the war, alleging Ethiopian ""aggression.",""""
47,45,44,The League Council condemned Italian aggression on the 7th.,The League Council condemned Italian aggression on the 7th.,The League Council condemned Italian aggression on the 7th.,
47,46,45,And on the 11th the League Assembly called on members to impose sanctions against Italy.,And on the 11th the League Assembly called on members to impose sanctions against Italy.,And on the 11th the League Assembly called on members to impose sanctions against Italy.,
47,47,45,France feared that strong League action might provoke Italy to leave the recently formed anti-German Stresa Front and realign with Germany.,France feared that strong League action might provoke Italy to leave the recently formed anti-German Stresa Front and realign with Germany.,,And on the 11th the League Assembly called on members to impose sanctions against Italy._x000d__x000d_France feared that strong League action might provoke Italy to leave the recently formed anti-German Stresa Front and realign with Germany.
47,48,47,Thus the Council's action triggered a crisis for France.,Thus the Council's action triggered a crisis for France.,Thus the Council's action triggered a crisis for France.,
