cameo_code	cameo_label	cameo_category	escalatory
01	MAKE PUBLIC STATEMENT	statement	0
10	Make statement, not specified below	statement	0
11	Decline comment	statement	0
12	Make pessimistic comment	statement	-1
13	Make optimistic comment	statement	1
14	Consider policy option	statement	0
15	Acknowledge or claim responsibility	statement	1
16	Deny responsibility	statement	-1
17	Engage in symbolic act	statement	1
18	Make empathetic comment	statement	1
19	Express accord	statement	1
02	APPEAL	appeal	0
20	Appeal, not specified below	appeal	0
21	Appeal for material cooperation, not specified below	appeal	1
211	Appeal for economic cooperation	appeal	1
212	Appeal for military cooperation	appeal	1
213	Appeal for judicial cooperation	appeal	1
214	Appeal for intelligence	appeal	1
22	Appeal for diplomatic cooperation, such as policy support	appeal	1
23	Appeal for aid, not specified below	appeal	1
231	Appeal for economic aid	appeal	1
232	Appeal for military aid	appeal	1
233	Appeal for humanitarian aid	appeal	1
234	Appeal for military protection or peacekeeping	appeal	1
24	Appeal for political reform, not specified below	appeal	1
241	Appeal for change in leadership	appeal	1
242	Appeal for policy change	appeal	1
243	Appeal for rights	appeal	1
244	Appeal for change in institutions, regime	appeal	1
25	Appeal to yield	appeal	-1
251	Appeal for easing of administrative sanctions	appeal	-1
252	Appeal for easing of popular dissent	appeal	-1
253	Appeal for release of persons or property	appeal	-1
254	Appeal for easing of economic sanctions, boycott, or embargo	appeal	-1
255	Appeal for target to allow international involvement (non-mediation)	appeal	-1
256	Appeal for de-escalation of military engagement	appeal	-1
26	Appeal to others to meet or negotiate	appeal	-1
27	Appeal to others to settle dispute	appeal	-1
28	Appeal to others to engage in or accept mediation	appeal	-1
03	EXPRESS INTENT TO COOPERATE	express intent	1
30	Express intent to cooperate, not specified below	express intent	1
31	Express intent to engage in material cooperation,  not specified below	express intent	1
311	Express intent to cooperate economically	express intent	1
312	Express intent to cooperate militarily	express intent	1
313	Express intent to cooperate on judicial matters	express intent	1
314	Express intent to cooperate on intelligence	express intent	1
32	Express intent to provide diplomatic cooperation such as policy support	express intent	1
33	Express intent to provide matyerial aid, not specified below	express intent	1
331	Express intent to provide economic aid	express intent	1
332	Express intent to provide military aid	express intent	1
333	Express intent to provide humanitarian aid	express intent	1
334	Express intent to provide military protection or peacekeeping	express intent	1
34	Express intent to institute political reform, not specified below	express intent	1
341	Express intent to change leadership	express intent	1
342	Express intent to change policy	express intent	1
343	Express intent to provide rights	express intent	1
344	Express intent to change institutions, regime	express intent	1
35	Express intent to yield, not specified below	express intent	1
351	Express intent to ease administrative sanctions	express intent	1
352	Express intent to ease popular dissent	express intent	1
353	Express intent to release persons or property	express intent	1
354	Express intent to ease economic sanctions, boycott, or embargo	express intent	1
355	Express intent allow international involvement (not mediation)	express intent	1
356	Express intent to de-escalate military engagement 	express intent	1
36	Express intent to meet or negotiate	express intent	1
37	Express intent to settle dispute	express intent	1
38	Express intent to accept mediation	express intent	1
39	Express intent to mediate	express intent	1
04	CONSULT	consult	0
40	Consult, not specified below	consult	0
41	Discuss by telephone	consult	0
42	Make a visit	consult	0
43	Host a visit	consult	0
44	Meet at a third location	consult	0
45	Mediate	consult	0
46	Engage in negotiation	consult	0
05	ENGAGE IN DIPLOMATIC COOPERATION	diplomacy	1
50	Engage in diplomatic cooperation, not specified below	diplomacy	1
51	Praise or endorse	diplomacy	1
52	Defend verbally	diplomacy	1
53	Rally support on behalf of	diplomacy	1
54	Grant diplomatic recognition	diplomacy	1
55	Apologize	diplomacy	1
56	Forgive	diplomacy	1
57	Sign formal agreement	diplomacy	1
06	ENGAGE IN MATERIAL COOPERATION	material cooperation	1
60	Engage in material cooperation, not specified below	material cooperation	1
61	Cooperate economically	material cooperation	1
62	Cooperate militarily	material cooperation	1
63	Engage in judicial cooperation	material cooperation	1
64	Share intelligence or information	material cooperation	1
07	PROVIDE AID	aid	1
70	Provide aid, not specified below	aid	1
71	Provide economic aid	aid	1
72	Provide military aid	aid	1
73	Provide humanitarian aid	aid	1
74	Provide military protection or peacekeeping	aid	1
75	Grant asylum	aid	1
08	YIELD	yield	1
80	Yield, not specified below 	yield	1
81	Ease administrative sanctions, not specified below	yield	1
811	Ease restrictions on political freedoms	yield	1
812	Ease ban on political parties or politicians	yield	1
813	Ease curfew	yield	1
814	Ease state of emergency or martial law	yield	1
82	Ease political dissent 	yield	1
83	Accede to requests or demands for political reform not specified below	yield	1
831	Accede to demands for change in leadership	yield	1
832	Accede to demands for change in policy	yield	1
833	Accede to demands for rights	yield	1
834	Accede to demands for change in institutions, regime	yield	1
84	Return, release, not specified below	yield	1
841	Return, release person(s)	yield	1
842	Return, release property	yield	1
85	Ease economic sanctions, boycott, embargo	sanctions	1
86	Allow international involvement not specified below		
861	Receive deployment of peacekeepers		
862	Receive inspectors		
863	Allow delivery of humanitarian aid		
87	De-escalate military engagement	fight	1
871	Declare truce, ceasefire	fight	1
872	Ease military blockade	fight	1
873	Demobilize armed forces	mobilize	1
874	Retreat or surrender militarily	fight	1
09	INVESTIGATE		
90	Investigate, not specified below		
91	Investigate crime, corruption		
92	Investigate human rights abuses		
93	Investigate military action		
94	Investigate war crimes		
10	DEMAND	demand	
100	Demand, not specified below	demand	
101	Demand information, investigation	demand	
1011	Demand economic cooperation	demand	
1012	Demand military cooperation	demand	
1013	Demand judicial cooperation	demand	
1014	Demand intelligence cooperation	demand	
102	Demand policy support	demand	
103	Demand aid, protection, or peacekeeping	demand	
1031	Demand economic aid	demand	
1032	Demand military aid	demand	
1033	Demand humanitarian aid	demand	
1034	Demand military protection or peacekeeping	demand	
104	Demand political reform, not specified below	demand	
1041	Demand change in leadership	demand	
1042	Demand policy change	demand	
1043	Demand rights	demand	
1044	Demand change in institutions, regime	demand	
105	Demand mediation	demand	
1051	Demand easing of administrative sanctions	demand	
1052	Demand easing of political dissent	demand	
1053	Demand release of persons or property	demand	
1054	Demand easing of economic sanctions, boycott, or embargo	demand	
1055	Demand that target allows international involvement (non-mediation)	demand	
1056	Demand de-escalation of military engagement106:[-5.0] Demand withdrawal	demand	
107	Demand ceasefire	demand	
108	Demand meeting, negotiation	demand	
11	DISAPPROVE		
110	Disapprove, not specified below		
111	Criticize or denounce 		
112	Accuse, not specified below		
1121	Accuse of crime, corruption		
1122	Accuse of human rights abuses		
1123	Accuse of aggression		
1124	Accuse of war crimes		
1125	Accuse of espionage, treason		
113	Rally opposition against		
114	Complain officially 		
115	Bring lawsuit against 		
116	Find guilty or liable (legally)		
12	REJECT	reject	-1
120	Reject, not specified below	reject	-1
121	Reject material cooperation	reject	-1
1211	Reject economic cooperation	reject	-1
1212	Reject military cooperation	reject	-1
122	Reject request or demand for material aid, not specified below	reject	-1
1221	Reject request for economic aid	reject	-1
1222	Reject request for military aid	reject	-1
1223	Reject request for humanitarian aid	reject	-1
1224	Reject request for military protection or peacekeeping	reject	-1
123	Reject request or demand for political reform, not specified below	reject	-1
1231	Reject request for change in leadership	reject	-1
1232	Reject request for policy change	reject	-1
1233	Reject request for rights	reject	-1
1234	Reject request for change in institutions, regime	reject	-1
124	Refuse to yield, not specified below	reject	-1
1241	Refuse to ease administrative sanctions	reject	-1
1242	Refuse to ease popular dissent	reject	-1
1243	Refuse to release persons or property	reject	-1
1244	Refuse to ease economic sanctions, boycott, or embargo	reject	-1
1245	Refuse to allow international involvement (non mediation)	reject	-1
1246	Refuse to de-escalate military engagement	reject	-1
125	Reject proposal to meet, discuss, or negotiate	reject	-1
126	Reject mediation	reject	-1
127	Reject plan, agreement to settle dispute	reject	-1
128	Defy norms, law	reject	-1
129	Veto	reject	-1
13	THREATEN	threaten	-1
130	Threaten, not specified below	threaten	-1
131	Threaten non-force, not specified below	threaten	-1
1311	Threaten to reduce or stop aid	threaten	-1
1312	Threaten to boycott, embargo, or sanction	threaten	-1
1313	Threaten to reduce or break relations	threaten	-1
132	Threaten with administrative sanctions, not specified below	threaten	-1
1321	Threaten to impose restrictions on political freedoms 	threaten	-1
1322	Threaten to ban political parties or politicians	threaten	-1
1323	Threaten to impose curfew	threaten	-1
1324	Threaten to impose state of emergency or martial law	threaten	-1
133	Threaten political dissent, protest	threaten	-1
134	Threaten to halt negotiations	threaten	-1
135	Threaten to halt mediation	threaten	-1
136	Threaten to halt international involvement (non-mediation)	threaten	-1
137	Threaten with violent repression	threaten	-1
138	Threaten to use military force, not specified below	threaten	-1
1381	Threaten blockade	threaten	-1
1382	Threaten occupation 	threaten	-1
1383	Threaten unconventional violence 	threaten	-1
1384	Threaten conventional attack  	threaten	-1
1385	Threaten attack with WMD	threaten	-1
139	Give ultimatum		
14	PROTEST	protest	-1
140	Engage in political dissent, not specified below	protest	-1
141	Demonstrate or rally	protest	-1
1411	Demonstrate for leadership change	protest	-1
1412	Demonstrate for policy change	protest	-1
1413	Demonstrate for rights	protest	-1
1414	Demonstrate for change in institutions, regime	protest	-1
142	Conduct hunger strike, not specified below	protest	-1
1421	Conduct hunger strike for leadership change	protest	-1
1422	Conduct hunger strike for policy change	protest	-1
1423	Conduct hunger strike for rights	protest	-1
