icb1,crisno,crisname,break,trigent,yrtrig,motrig,datrig,yrterm,moterm,daterm,brexit,gravcr,crismg,cenviosy,sevviosy,viol,timvio,iwcmb,noactr,gpinv,gpinvtp,gpefcttp,gpefactp,gppacetp,powinv,usinv,usefct,usefac,uspace,usactor,suinv,suefct,suefac,supace,suactor,soglact,chinv,globorg,globactm,globefct,globefor,globefac,globpace,soract,regorg,regactmb,roefct,robody,roefac,ropace,subout,forout,exsat,outesr,cractr,geostr,hetero,issues,chacts,chall,powch,rugach,geog,geogrel,period,syslevsy,protrac,pcid,powdissy,ethnic,ethconf,stressad,sourdt,mediate,mednum,medwho,medtime,yrmedst,momedst,damedst,yrmedend,momedend,damedend,yrmedfin,momedfin,damedfin,medgoal,medfacl,medform,medmanip,medstyle,medstefc,medefct,medpace
ICB1,1,RUSSIAN CIVIL WAR I,9,996,1918,5,,1920,4,1,686,2,8,4,3,3,2,1,6,5,4,4,2,4,1,4,4,5,3,,4,5,5,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,1,1,4,4,4,1,1,3,1,30,2,1,3,2,27,,3,4,12,5,3,1,1,1,,,,,,,,,,1,1,1,1,1,1,1,1
ICB1,2,COSTA RICAN COUP,7,94,1918,5,25,1919,9,3,467,2,4,1,1,1,1,1,6,3,4,7,4,5,1,3,6,4,4,,1,1,1,1,,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,4,3,2,2,1,2,3,3,1,2,1,42,1,1,1,2,6,1,3,4,7,3,1,1,1,1,,,,,,,,,,1,1,1,1,1,1,1,1
ICB1,3,RUSSIAN CIVIL WAR II,7,997,1918,6,23,1919,9,27,462,2,8,4,3,3,2,1,5,5,5,3,2,3,1,2,3,2,3,,4,5,5,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,1,1,3,4,4,5,5,5,5,30,3,1,4,2,27,,3,4,12,5,3,1,1,1,,,,,,,,,,1,1,1,1,1,1,1,1
ICB1,4,BALTIC INDEPENDENCE,6,366,1918,11,18,1920,8,11,632,6,8,4,3,3,4,1,8,5,5,6,5,5,1,2,3,2,3,,4,2,5,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,2,4,3,3,4,4,1,2,2,34,1,1,2,1,43,12,1,1,18,5,1,1,1,1,,,,,,,,,,1,1,1,1,1,1,1,1
ICB1,5,TESCHEN,2,290,1919,1,15,1920,7,28,560,3,8,4,3,3,2,1,3,2,3,7,3,5,1,2,5,3,4,,1,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,2,2,2,2,3,1,1,2,1,31,1,1,1,1,43,1,2,2,10,5,1,1,1,1,,,,,,,,,,1,1,1,1,1,1,1,1
ICB1,6,HUNGARIAN WAR,2,997,1919,3,20,1919,8,3,137,6,8,4,4,4,2,1,7,3,5,3,2,5,1,2,3,2,3,,2,3,2,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,2,3,4,5,3,2,3,2,1,31,1,1,2,1,43,,2,2,14,5,1,1,1,1,,,,,,,,,,1,1,1,1,1,1,1,1
ICB1,7,SMYRNA,7,325,1919,3,66,1919,7,29,151,3,7,3,2,2,4,1,5,5,3,3,2,3,1,2,3,2,3,,1,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,4,4,3,1,1,1,3,10,2,1,2,1,44,3,2,1,12,5,1,1,1,1,,,,,,,,,,1,1,1,1,1,1,1,1
ICB1,8,THIRD AFGHAN WAR,2,200,1919,4,15,1919,8,8,116,4,7,3,4,4,4,1,3,4,3,4,2,4,1,1,1,1,1,,2,3,2,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,2,2,4,5,4,2,3,1,1,13,1,1,2,1,42,8,3,4,14,1,1,1,1,1,,,,,,,,,,1,1,1,1,1,1,1,1
ICB1,9,FINNISH/RUSSIAN BDR.,9,375,1919,4,20,1920,10,14,543,3,7,3,3,3,2,1,6,5,4,4,2,4,1,2,3,2,3,,4,5,5,4,,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,3,2,2,3,4,3,1,1,1,1,34,1,1,2,2,17,11,3,4,14,1,1,1,1,1,,,,,,,,,,1,1,1,1,1,1,1,1
ICB1,10,BESSARABIA,2,360,1919,4,30,1920,3,2,308,3,7,3,3,3,2,1,3,5,2,2,2,2,1,1,1,1,1,,4,5,5,4,,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,2,1,3,2,2,1,3,3,1,4,2,1,31,1,1,1,1,43,11,2,2,14,1,1,1,1,1,,,,,,,,,,1,1,1,1,1,1,1,1
ICB1,11,CILICIAN WAR,7,220,1919,11,,1921,10,20,719,3,7,4,4,4,2,1,3,5,5,3,2,3,1,1,1,1,1,,,,,,,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,2,1,1,2,2,1,5,1,1,4,2,1,10,3,1,1,1,44,9,2,2,12,5,1,1,1,1,,,,,,,,,,1,1,1,1,1,1,1,1
ICB1,12,RHENISH REBELLIONS,8,255,1920,4,3,1920,5,17,45,2,6,1,1,2,1,1,7,4,3,6,3,5,1,2,4,3,3,,1,1,1,1,,2,0,1,1,1,1,1,1,0,0,0,0,0,0,0,2,4,1,1,2,3,4,4,5,5,5,5,33,1,1,2,2,18,3,3,4,12,3,2,1,1,1,,,,,,,,,,1,1,1,1,1,1,1,1
ICB1,13,POLISH/RUSSIAN WAR,9,290,1920,4,25,1920,10,12,171,6,8,4,4,4,3,2,4,5,4,3,2,3,1,1,1,1,1,,4,2,5,2,,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,2,2,1,3,3,1,1,1,1,31,1,1,2,2,21,8,3,2,16,5,3,1,1,1,,,,,,,,,,1,1,1,1,1,1,1,1
ICB1,14,PERSIAN BORDER,7,996,1920,5,66,1921,2,26,302,3,7,3,3,2,3,1,6,6,5,4,2,4,1,2,3,2,3,,4,5,5,4,,2,0,5,2,4,5,3,3,0,0,0,0,0,0,0,1,1,6,2,2,3,5,3,2,4,2,1,13,1,1,2,2,29,,2,4,12,4,1,1,1,1,,,,,,,,,,1,1,1,1,1,1,1,1
ICB1,15,AALAND ISLANDS,7,375,1920,6,5,1921,10,20,503,1,3,1,1,1,1,1,10,2,3,6,3,5,1,1,1,1,1,,1,1,1,1,,7,0,5,7,6,5,8,4,0,0,0,0,0,0,0,2,1,1,2,2,1,2,3,1,1,1,1,34,1,1,1,1,43,0,1,1,10,3,4,2,2,3,1920,7,11,1921,10,20,,,,3,3,3,2,3,3,6,4
ICB1,16,GREECE/TURKEY WAR I,9,350,1920,6,22,1920,7,9,18,3,8,2,2,2,3,1,4,3,4,3,2,3,1,1,1,1,1,,1,1,1,1,,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,2,4,6,1,1,1,4,3,5,5,5,5,10,1,1,1,3,28,,2,2,8,5,1,1,1,1,,,,,,,,,,1,1,1,1,1,1,1,1
ICB1,17,VILNA I,2,368,1920,7,12,1920,11,29,141,3,7,3,4,4,4,1,3,3,4,3,2,3,1,1,1,1,1,,3,5,4,4,,2,0,5,7,5,5,8,4,0,0,0,0,0,0,0,1,1,1,2,2,1,3,3,1,1,2,1,34,1,1,1,2,20,3,2,2,10,5,4,2,2,3,1920,10,88,1920,11,29,,,,2,3,3,2,3,3,5,4
ICB1,18,GREECE/TURKEY WAR II,9,350,1921,1,6,1921,9,12,250,6,8,4,4,4,2,7,5,3,4,3,2,3,1,1,1,1,1,,3,3,2,3,,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,2,4,6,1,1,1,3,3,5,5,5,5,10,1,1,1,3,28,,2,2,12,5,1,1,1,1,,,,,,,,,,1,1,1,1,1,1,1,1
ICB1,19,COSTA RICA/PANAMA BDR,7,94,1921,2,21,1921,8,24,185,3,7,2,2,2,4,1,6,3,4,7,4,5,1,3,6,4,4,,1,1,1,1,,2,0,5,6,3,2,2,3,1,1,1,1,1,1,1,2,4,3,2,2,1,2,3,1,1,2,1,42,1,1,1,1,41,1,3,4,7,3,1,1,1,1,,,,,,,,,,1,1,1,1,1,1,1,1
ICB1,20,GERMAN REPARATIONS,2,997,1921,3,3,1921,5,11,70,2,1,1,1,1,1,1,8,5,4,7,5,5,1,2,3,2,3,,1,1,1,1,,2,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,4,2,1,3,3,2,4,5,5,5,5,33,1,1,2,2,18,,3,4,12,4,1,1,1,1,,,,,,,,,,1,1,1,1,1,1,1,1
ICB1,21,KARL'S RETURN HUNGARY,5,996,1921,3,27,1921,11,15,234,2,6,1,1,1,1,1,13,2,3,6,3,5,1,1,1,1,1,,1,1,1,1,,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,2,4,1,1,3,1,4,4,2,2,2,2,31,1,1,1,1,43,,3,4,7,1,1,1,1,1,,,,,,,,,,1,1,1,1,1,1,1,1
ICB1,22,AUSTRIAN SEPARATISTS,2,996,1921,5,11,1921,6,21,42,3,6,1,1,1,1,1,9,2,3,5,3,4,1,1,1,1,1,,1,1,1,1,,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,2,4,7,2,2,3,5,4,1,1,1,1,32,1,1,4,1,43,1,1,1,14,3,1,1,1,1,,,,,,,,,,1,1,1,1,1,1,1,1
ICB1,23,ALBANIAN FRONTIER,7,345,1921,7,7,1921,11,18,135,3,8,4,4,4,2,1,10,2,3,6,3,5,1,1,1,1,1,,1,1,1,1,,7,0,5,2,5,5,3,4,0,0,0,0,0,0,0,1,5,5,2,2,1,3,4,1,1,1,1,35,1,1,1,2,19,2,2,2,10,3,1,1,1,1,,,,,,,,,,1,1,1,1,1,1,1,1
ICB1,24,BURGENLAND DISPUTE,7,305,1921,8,28,1921,12,28,123,3,7,2,2,2,3,1,6,2,3,7,3,5,1,1,1,1,1,,1,1,1,1,,2,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,5,3,2,2,1,2,3,1,1,1,1,32,1,1,1,1,43,0,2,2,7,4,4,2,5,3,1921,9,88,1921,12,28,,,,3,3,3,3,4,4,6,4
ICB1,25,GREECE/TURKEY WAR III,9,640,1922,8,26,1922,9,15,21,3,8,4,4,4,2,7,2,2,2,2,2,2,1,1,1,1,1,,1,1,1,1,,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,2,4,6,2,1,1,3,3,3,1,2,1,10,1,1,1,3,28,,2,2,8,5,1,1,1,1,,,,,,,,,,1,1,1,1,1,1,1,1
ICB1,26,CHANAK,2,200,1922,9,23,1922,10,11,19,3,4,1,1,1,1,1,3,4,3,5,3,5,1,1,1,1,1,,1,1,1,1,,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,2,3,5,4,1,1,2,1,10,3,1,2,1,44,5,3,4,12,5,1,1,1,1,,,,,,,,,,1,1,1,1,1,1,1,1
ICB1,27,RUHR I,2,365,1923,1,22,1923,9,27,212,2,1,1,1,1,2,1,10,5,5,3,2,3,1,2,3,2,3,,2,2,3,2,,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,4,2,1,3,1,3,4,5,5,5,5,32,1,1,2,2,18,,3,4,14,3,1,1,1,1,,,,,,,,,,1,1,1,1,1,1,1,1
ICB1,28,CORFU INCIDENT,9,325,1923,8,31,1923,9,29,30,3,2,1,1,2,3,1,8,3,5,3,2,3,1,1,1,1,1,,1,1,1,1,,7,0,5,13,3,5,14,3,0,0,0,0,0,0,0,2,4,6,2,1,3,2,3,1,1,1,1,35,2,1,2,1,43,,2,2,12,3,1,1,1,1,,,,,,,,,,1,1,1,1,1,1,1,1
ICB1,29,HIJAZ/NAJD WAR,2,671,1924,3,7,1925,12,19,653,6,8,4,4,4,2,1,2,2,2,2,2,2,1,1,1,1,1,,1,1,1,1,,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,2,5,3,2,2,1,1,3,4,1,4,1,15,1,1,1,1,44,,3,4,14,5,1,1,1,1,,,,,,,,,,1,1,1,1,1,1,1,1
ICB1,30,RUHR II,2,220,1924,4,29,1924,8,30,124,0,1,1,1,1,2,1,11,4,3,7,3,5,1,2,5,3,4,,1,1,1,1,,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,2,2,1,3,4,1,1,1,1,32,1,1,2,2,18,,3,4,10,3,4,2,6,3,1924,7,16,1924,8,16,,,,3,3,3,3,4,3,6,4
ICB1,31,MOSUL LAND DISPUTE,2,200,1924,9,29,1924,11,15,48,3,3,1,1,2,2,1,2,4,2,2,2,2,1,1,1,1,1,,1,1,1,1,,7,0,5,8,6,5,9,4,0,0,0,0,0,0,0,1,2,1,2,2,1,5,4,1,1,2,1,10,1,1,2,1,44,,2,4,12,4,1,1,1,1,,,,,,,,,,1,1,1,1,1,1,1,1
ICB1,32,BULGARIA/GREEK FRONT,9,355,1925,10,19,1925,12,15,58,3,7,3,3,2,2,1,9,2,3,6,3,5,1,1,1,1,1,,1,1,1,1,,7,0,5,8,6,5,9,4,0,0,0,0,0,0,0,2,2,3,2,2,1,2,3,1,1,2,1,31,1,1,3,1,43,,1,4,10,5,1,1,1,1,,,,,,,,,,1,1,1,1,1,1,1,1
ICB1,33,NICARAGUA CIVIL WAR I,7,70,1926,8,17,1927,5,15,272,2,3,1,1,2,1,1,8,3,4,7,4,5,1,3,6,4,4,,1,1,1,1,,6,0,3,3,3,2,2,3,1,1,1,1,1,1,1,2,4,6,2,1,1,3,3,3,1,2,1,42,2,1,1,1,41,,3,4,10,3,4,2,5,3,1927,3,31,1927,5,4,,,,2,3,3,2,3,3,5,4
ICB1,34,HEGEMONY OVER ALBANIA,2,997,1926,11,28,1927,11,22,361,4,4,1,1,1,1,1,8,4,3,6,3,5,1,1,1,1,1,,1,1,1,1,,6,0,5,13,3,2,2,3,0,0,0,0,0,0,0,2,5,2,2,3,1,5,3,1,1,1,1,35,1,1,1,2,19,,2,4,10,3,1,1,1,1,,,,,,,,,,1,1,1,1,1,1,1,1
ICB1,35,SHANTUNG,7,740,1927,5,28,1929,3,28,669,4,7,2,2,2,4,1,3,4,3,5,3,5,1,2,3,2,3,,1,1,1,1,,2,0,2,13,3,2,2,3,0,0,0,0,0,0,0,1,1,1,1,2,1,5,4,1,1,1,1,11,1,1,1,2,10,,3,4,12,3,1,1,1,1,,,,,,,,,,1,1,1,1,1,1,1,1
ICB1,36,VILNA II,5,290,1927,10,77,1927,12,10,57,6,3,1,1,1,1,1,2,3,3,7,3,5,1,1,1,1,1,,2,4,3,3,,2,0,5,7,6,5,8,4,0,0,0,0,0,0,0,1,4,1,2,2,1,1,4,1,1,1,1,34,1,1,1,2,20,,2,2,11,5,4,2,2,3,1927,12,66,1927,12,10,,,,2,3,,,,,6,4
ICB1,37,CHACO I,9,150,1928,12,5,1929,9,12,282,3,7,3,2,2,3,1,7,2,3,3,3,5,1,2,5,3,4,,1,1,1,1,,6,0,5,4,3,2,2,3,2,4,6,6,5,7,4,1,1,3,1,2,1,2,3,1,1,1,1,43,1,1,1,1,41,0,2,4,7,1,4,3,3,3,1929,1,3,1929,9,12,,,,2,3,3,2,3,3,6,4
ICB1,38,CHINESEE RAILWAY,7,996,1929,7,10,1929,12,22,166,2,7,3,3,3,4,1,7,4,3,4,2,4,1,2,3,2,3,,4,2,5,2,,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,2,5,3,2,2,1,4,4,1,1,2,3,11,1,1,2,1,42,1,3,4,12,5,1,1,1,1,,,,,,,,,,1,1,1,1,1,1,1,1
ICB1,39,MUKDEN INCIDENT,9,740,1931,9,18,1932,2,18,154,3,7,3,3,3,3,2,6,4,3,4,2,4,1,2,3,2,3,,2,3,2,3,,2,0,5,3,3,2,2,3,0,0,0,0,0,0,0,2,4,3,1,2,3,5,4,4,1,2,3,11,1,1,2,2,10,1,3,4,12,3,3,1,1,1,,,,,,,,,,1,1,1,1,1,1,1,1
ICB1,40,SHANGHAI,2,740,1932,1,24,1932,5,5,102,3,7,3,3,3,2,1,5,4,3,7,3,5,1,2,4,3,3,,1,1,1,1,,2,0,4,6,4,4,6,4,0,0,0,0,0,0,0,1,1,1,1,2,1,5,4,1,1,1,2,11,1,1,1,2,10,1,3,4,12,5,4,2,6,3,1932,2,26,1932,5,5,,,,2,3,3,2,3,3,6,4
ICB1,41,CHACO II,9,145,1932,6,18,1935,6,12,1089,5,7,3,4,4,2,2,17,2,3,5,3,5,1,2,4,3,4,,1,3,2,3,,2,0,5,9,4,4,10,3,6,4,7,4,5,8,4,1,1,3,2,2,1,2,3,1,1,1,3,43,1,1,1,1,41,0,2,4,7,1,4,2,6,2,1935,5,27,1935,6,12,1938,7,21,3,3,3,3,4,3,5,4
ICB1,42,LETICIA,9,135,1932,9,8,1933,5,25,259,3,7,3,3,3,4,1,6,2,3,5,3,5,1,2,4,3,3,,1,1,1,1,,2,0,5,7,5,5,8,4,1,1,1,1,1,1,1,2,1,1,2,2,1,2,3,1,1,2,1,43,1,1,1,1,41,1,2,4,7,1,4,3,2,3,1933,1,26,1933,5,25,1934,5,24,3,3,3,3,4,4,5,4
ICB1,43,JEHOL CAMPAIGN,9,740,1933,2,23,1933,5,31,98,3,7,3,4,4,2,2,4,3,5,3,2,3,1,2,3,2,3,,1,1,1,1,,3,0,4,2,3,2,2,3,0,0,0,0,0,0,0,2,5,6,1,1,1,5,3,1,1,2,1,11,1,1,1,2,10,1,3,4,12,4,3,1,1,1,,,,,,,,,,1,1,1,1,1,1,1,1
ICB1,44,SAUDI/YEMEN WAR,9,678,1933,12,18,1934,5,20,154,3,7,3,4,4,2,2,5,2,4,5,4,4,1,1,1,1,1,,1,1,1,1,,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,2,5,5,2,2,1,1,4,1,1,2,1,15,1,1,1,1,44,1,2,4,7,5,1,1,1,1,,,,,,,,,,1,1,1,1,1,1,1,1
ICB1,45,AUSTRIA PUTSCH,6,996,1934,7,25,1934,7,31,7,2,8,4,2,2,2,1,7,4,4,3,2,3,1,1,1,1,1,,1,1,1,1,,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,2,4,7,1,4,3,3,5,2,2,2,3,32,1,1,3,1,43,7,3,4,14,1,1,1,1,1,,,,,,,,,,1,1,1,1,1,1,1,1
ICB1,46,ASSN. KING ALEXANDER,6,996,1934,10,8,1934,12,10,64,2,3,1,1,1,2,1,4,2,3,4,3,4,1,1,1,1,1,,1,1,1,1,,2,0,5,6,5,5,7,4,0,0,0,0,0,0,0,2,1,1,2,2,1,2,4,1,1,2,1,33,1,1,1,1,43,3,3,3,8,3,1,1,1,1,,,,,,,,,,1,1,1,1,1,1,1,1
ICB1,47,ETHIOPIAN WAR,2,325,1934,12,6,1936,5,5,516,6,8,4,4,4,3,1,10,6,3,3,2,3,1,1,1,1,1,,1,1,1,1,,2,0,5,9,4,4,10,3,0,0,0,0,0,0,0,2,4,2,1,4,3,4,3,4,3,2,4,22,1,1,3,1,40,6,3,4,18,1,4,2,2,3,1935,8,16,1936,4,8,,,,2,3,3,2,3,5,2,3
ICB1,48,BULGARIA/TURKEY,7,640,1935,3,6,1935,8,31,179,3,6,1,1,1,1,1,3,2,2,2,2,2,1,1,1,1,1,,1,1,1,1,,2,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,2,1,2,2,1,4,4,1,1,2,1,31,1,1,1,1,43,1,3,2,10,6,1,1,1,1,,,,,,,,,,1,1,1,1,1,1,1,1
ICB1,49,KAUNAS TRIALS,3,255,1935,3,28,1935,9,25,182,3,6,1,1,1,1,1,6,2,4,3,2,3,1,1,1,1,1,,1,1,1,1,,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,4,6,1,1,3,4,3,1,1,1,1,34,1,1,1,1,43,11,3,2,14,3,1,1,1,1,,,,,,,,,,1,1,1,1,1,1,1,1
ICB1,50,ECUADOR/PERU BDR. I,9,130,1935,11,1,1935,11,30,30,3,4,1,1,2,3,1,2,2,2,2,2,2,1,1,1,1,1,,1,1,1,1,,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,3,1,1,1,1,43,1,1,1,2,7,2,2,4,14,5,1,1,1,1,,,,,,,,,,1,1,1,1,1,1,1,1
ICB1,51,REMILIT. RHINELAND,7,255,1936,3,7,1936,4,16,41,5,1,1,1,1,1,1,10,5,5,6,5,5,1,1,1,1,1,,2,3,2,3,,2,0,5,6,3,2,2,3,0,0,0,0,0,0,0,1,6,7,1,7,4,5,4,2,4,2,4,33,1,1,4,2,18,24,2,2,14,1,1,1,1,1,,,,,,,,,,1,1,1,1,1,1,1,1
ICB1,52,SPANISH CIVIL WAR I,6,996,1936,7,17,1937,3,18,245,2,8,3,4,4,2,1,7,3,4,3,2,5,1,1,1,1,1,,3,5,4,4,,2,0,5,13,3,5,2,3,0,0,0,0,0,0,0,2,4,6,1,1,3,5,4,5,5,5,5,35,2,1,2,1,43,,3,4,12,5,3,1,1,1,,,,,,,,,,1,1,1,1,1,1,1,1
ICB1,53,ALEXANDRETTA,2,220,1936,9,9,1939,6,23,995,3,4,1,1,2,4,1,6,4,3,6,3,5,1,1,1,1,1,,1,1,1,1,,2,0,5,7,5,5,9,3,0,0,0,0,0,0,0,2,5,1,2,2,1,5,4,1,1,2,1,10,1,1,1,1,44,7,2,2,12,3,4,2,2,3,1937,1,22,1938,7,4,,,,3,3,3,2,3,3,5,4
