labels,n_sources,sentence
33,5,"On 16 December, Putin offered Ukraine $15 billion in loans and reduced gas prices to offset Ukraine’s financial crisis, sparked by the near depletion of its hard currency reserves.
On 17 December 2013 Russian President Vladimir Putin agreed to lend Ukraine 15 billion dollars in financial aid and a 33% discount on natural gas prices.
On December 16, pursuant to Yanukovych’s visit to Moscow, Putin’s government announced $15 billion in loans to Ukraine and substantial discounts on imported natural gas.
Yanukovich reached a deal with Putin in which Russia loaned Ukraine $15 billion and sharply cut oil prices.
Putin’s government announced $15 billion in loans to Ukraine and substantial discounts on imported natural gas.
Putin offered Ukraine $15 billion in loans and reduced gas prices to offset Ukraine’s financial crisis.
Putin agreed to provide a 15 billion USD loan and to lower gas prices to Ukraine if Yanukovych decided not to sign the agreement."
58,5,"The countries making up the new union are Russia, Belarus, Kazakhstan, Armenia and Kyrgyzstan.
Armenia, Belarus, Kazakhstan, and Kyrgyzstan are among those in the union.
Russia also formed the Eurasian Economic Union with Armenia, Kazakhstan, and Belarus.
Belarus, Kazakhstan, and Russia as core members, and Armenia, Armenia, Kyrgyzstan, and Tajikistan likely additions.
The union currently involves Russia, Kazakhstan, and Belarus, with Armenia a likely additional member."
164,5,"Afghanistan, Bolivia, Cuba, Kyrgyzstan, Nicaragua, North Korea, Sudan, Syria, Venezuela, and Zimbabwe.
Those 10 countries are Afghanistan, Bolivia, Cuba, Kyrgyzstan, Nicaragua, North Korea, Sudan, Syria, Venezuela, and Zimbabwe.
Armenia, Belarus, Bolivia, Burundi, Cambodia, China, Cuba, North Korea, Eritrea, India, Iran, Kazakhstan, Kyrgyzstan, Myanmar, Nicaragua, Russia, Serbia, South Africa, South Sudan, Sudan, Syria, Tajikistan, Uganda, Uzbekistan, Venezuela, and Zimbabwe.
Belize, Bosnia and Herzegovina, Republic of the Congo, Côte d’Ivoire, Equatorial Guinea, Ghana, Grenada, Guinea-Bissau, Iran, Israel, Kyrgyzstan, Laos, Lebanon, Morocco, Oman, Serbia, Tajikistan, Timor-Leste, Tonga, Turkmenistan, Tuvalu, United Arab Emirates, Vanuatu, and Yemen.
Russia, Syria, Venezuela, North Korea, Cuba, Afghanistan, and Nicaragua.
Afghanistan, Bolivia, Cuba, Venezuela, Kyrgyzstan, Nicaragua, North Korea, Sudan, Syria, Venezuela and Zimbabwe.
Afghanistan, Bolivia, Cuba, Nicaragua, North Korea, Sudan, Syria, Venezuela, and Zimbabwe are among the 10 countries.
Armenia, Belarus, Bolivia, Cambodia, China, Cuba, North Korea, Eritrea, India, Iran, Kazakhstan, Kyrgyzstan, Myanmar, Nicaragua, Russia, Serbia, Syria, Uganda, Uzbekistan, Venezuela, and Zimbabwe.
Russia, Syria, Venezuela, North Korea, Cuba, Afghanistan, and Nicaragua are among the countries listed."
176,5,"At the end of 2013, Viktor Yanukovych, Ukraine’s president, postponed signing an association agreement with the European Union, choosing instead to pursue closer ties with Russia.
In November 2013, Yanukovych canceled trade talks with the European Union in favour of strengthening ties with Russia.
In 2013, Yanukovych refused to sign the Ukraine-European Union Association Agreement, which would have allowed visa-free movement of Ukrainians among other provisions, and instead pursued closer ties with Russia.
On 21 November 2013, Yanukovych suspended preparations for signing EU Association Agreement, to seek closer economic relations with Russia.
In 2013, President Viktor Yanukovych suspended the Ukraine-European Union Association Agreement and sought closer economic ties with Russia."
187,5,"Ukraine is heading for presidential and parliamentary elections in March next year.
Now, Ukraine is now facing presidential and parliamentary elections that will chart its course for the next five years.
Currently, Ukraine holds elections for parliamentary and presidential positions.
The presidential and parliamentarian elections are being held in Ukraine.
Currently, Ukraine is holding elections for presidential and parliamentary positions.
The next presidential elections and parliamentary elections are in Ukraine.
Ukraine is now facing presidential and parliamentary elections that will chart its course for the next five years."
193,5,"Poroshenko called on NATO members including Germany to send naval vessels to the Sea of Azov to back his country in the standoff.
In a Nov. interview with the German newspaper Bild, Poroshenko called on NATO to deploy war ships to the Azov Sea.
Ukrainian President Petro Poroshenko has asked Nato members, including Germany, to send naval vessels to the Sea of Azov to back his country in its stand-off with Russia.
In an interview with Germany's Bild newspaper published Thursday, Poroshenko asked NATO members including Berlin to send naval vessels to the Sea of Azov to back his country.
Ukrainian President Petro Poroshenko has called on NATO to deploy forces to the Azov Sea to counter Russian aggression.
Poroshenko also called for NATO to deploy warships to a sea shared by the two nations.
Ukrainian President Petro Poroshenko has asked Nato members, including Germany, to send naval vessels to the Sea of Azov.
Poroshenko called on NATO members including Germany to send naval vessels to the Sea of Azov to back his country in standoff.
Poroshenko asked NATO members including Berlin to send naval vessels to the Sea of Azov to back his country.
In an interview with Germany's Bild newspaper published Thursday, Poroshenko asks NATO members to send vessels."
196,5,"Donetsk and Lugansk residents held independence referendums in May, 2014.
Referendums on the status of Donetsk and Luhansk oblasts, parts of Ukraine that together make up the Donbass region, took place on 11 May 2014 in many towns under the control of the self-proclaimed Donetsk and Luhansk People's Republics.
The referendums on regional autonomy were held in Donetsk and Luhansk on May 11.
On May 11, 2014, in the Donetsk and Luhansk regions controlled by separatists, such “referendums” were held.
A timeline 11 May 2014 “Self-rule” independence referendums are held in Ukraine’s easternmost areas, Donetsk and Luhansk."
211,5,"Meanwhile, the Chief of the General Staff of the Armed Forces of Ukraine, Gen.
Director of the Main Operations Department and deputy chief of the General Staff of the Armed Forces of the Russian Federation.
Chief of the General Staff of the Armed Forces of the Russian Federation.
Russian general and Chief of the General Staff of the Armed Forces of Russia.
Former Director of the Main Opera­ tions Department and deputy chief of the General Staff of the Armed Forces of the Russian Federation."
212,5,"In 2014, Putin justified the Crimea intervention as defending the interests of ethnic Russians.
Similarly, from Putin’s point of view, his seizure of Crimea and intervention in eastern Ukraine were in defense of Russia’s national interests.
Moscow justified the annexation of Crimea by appealing to Russia’s right to defend its ethnic Russian kin throughout the post-Soviet space.
Putin's seizure of Crimea and intervention in eastern Ukraine were in defense of Russia’s national interests, he says.
Russia’s official view of the annexation of Crimea was that it was in defence of Russia.
Putin justified the annexation of Crimea as a defense of Russia’s national interests.
Putin justified Crimea intervention in 2014 as defending Russian interests."
213,5,"NATO membership for Ukraine is a red line for Putin, who has said he considers expansion of the alliance a form of aggression.
Furthermore, Russian President Vladimir Putin has repeatedly said Ukraine’s aspirations to join NATO are a red line, and expressed concern about plans by some NATO members to set up military training centres in Ukraine.
Putin has strongly emphasized that Ukraine's aspirations to join NATO represent a red line for Moscow, and also expressed concern about plans by some NATO members to set up military training centers in Ukraine.
Putin emphasized that any indication of Georgian and Ukrainian membership in the NATO alliance was a red line for Russia.
Russian President Vladimir Putin has repeatedly said Ukraine's aspirations to join NATO are a red line.
Putin has strongly emphasized that Ukraine’s aspirations to join NATO represent a red line for Moscow."
