labels,n_sources,sentence,summary_text_distilbart_cnn_12_6,summary_text_bart_large
276,5,"In early July, a Cuban delegation led by Rauil Castro visited Moscow to discuss Soviet arms shipments to Cuba, and to finalize operational details of the missile deployment.
A Cuban delegation led by Raul Castro trav eled to Moscow 2 July to discuss Soviet military shipments, including nuclear missiles.
During 2-17 July, a Cuban delegation led by Raul Castro traveled to Moscow to discuss Soviet military shipments, including nuclear missiles.
In July 1962, a Cuban delegation headed by Raul Castro arrived in Moscow for high-level talks about the shipment of military supplies to Cuba, including nuclear missiles.
In early July, a Cuban delegation led by Rauil Castro visited Moscow to discuss Soviet arms shipments to Cuba.
Raul visited Moscow in July 1962 to discuss Soviet military shipments, including nuclear missiles, and whose military oversaw the deployment of missiles in Cuba."," Cuban delegation led by Raul Castro visited Moscow in July 1962 to discuss Soviet military shipments, including nuclear missiles . Cuban military oversaw the deployment of missiles in Cuba . In July 1962, a Cuban delegation arrived in Moscow for high-level talks about the shipment of military supplies to Cuba .","A Cuban delegation led by Raul Castro traveled to Moscow in July 1962 to discuss Soviet military shipments, including nuclear missiles. The Cuban military oversaw the deployment of missiles in Cuba. In July 1962, a Cuban delegation arrived in Moscow for high-level talks about the shipment of military supplies to Cuba."
482,5,"Under pressure from Congress and the press over the Soviet buildup, on September 4, the President warned the Soviets that “the gravest issues would arise” if they introduced “offensive ground-to-ground missiles” into Cuba.
Under attack by the Republicans for his passivity over Cuba, the president had issued a public statement on September 4 warning the Soviets that “the gravest issues would arise” if they developed “a significant offensive capability” in Cuba.
President Kennedy again pointed out the serious consequences if the Soviet Union placed missiles or offensive weapons in Cuba.
Kennedy had already warned Khrushchev that “the gravest issues would arise” if Russia introduced bases or ballistic missiles in Cuba.
The president had issued a public statement on September 4 warning the Soviets that “the gravest issues would arise” if they developed “a significant offensive capability” in Cuba.
President Kennedy warned the Kremlin that 'the gravest issues would arise' if the Soviets install offensive weapons or establish military bases in Cuba.", President Kennedy again pointed out the serious consequences if the Soviet Union placed missiles or offensive weapons in Cuba . The president had issued a public statement on September 4 warning the Soviets that “the gravest issues would arise” if they developed “a significant offensive capability”,President Kennedy again pointed out the serious consequences if the Soviet Union placed missiles or offensive weapons in Cuba. The president had issued a public statement on September 4 warning the Soviets that “the gravest issues would arise” if they developed “a significant offensive capability’
525,5,"Chronology 1952 March 10 – Fulgencio Batista launches a military coup and takes control of Cuba.
Batista, Fulgencia Cuban president who established himself in power after a coup in 1952.
Cubans In a 1952 military coup, former Cuban army sergeant Fulgencio Batista seized control of Cuba, which had been under United States trusteeship since the SpanishAmerican War of 1898.
He was then toppled by an ex-sergeant-clerk Fulgencio Batista, who was to dominate Cuban politics from 1934 to 1959.
Batista, Fulgencia Cuban president, established himself in power after a coup in 1952.
Batista was President of Cuba Activity 1940–44 and, after a long stay in the United States, seized control of Cuba in 1952 through a military coup.
In a 1952 military coup, former Cuban army sergeant Fulgencio Batista seized control of Cuba.
Fulgencio Batista launches a military coup and takes control of Cuba March 10, 1952."," In a 1952 military coup, former Cuban army sergeant Fulgencio Batista seized control of Cuba . Cuba had been under United States trusteeship since 1898 . He was toppled by an ex-sergeant-clerk who was to dominate Cuban politics from 1934 to 1959 .",Fulgencio Batista seized control of Cuba in a 1952 military coup. He was toppled by an ex-sergeant-clerk who was to dominate Cuban politics from 1934 to 1959. Cuba had been under United States trusteeship since the SpanishAmerican War of 1898.
552,5,"He subsequently served as an adviser to the leftist President Salvador Allende of Chile, who died following a military coup in 1973.
We also raised the question of Pinochet in Chile, who in 1973 had carried out a vicious coup against the reformist, social-democratic government of Salvador Allende.
AFTER September 11, 1973 Salvador Allende, president of Chile, dies during a coup led by army chief Augusto Pinochet.
On 11 September 1973, Allende was overthrown in a coup d'etat led by General Augusto Pinochet.
Salvador Allende, president of Chile, dies during a coup led by army chief Augusto Pinochet.
Salvador Allende was + killed in a coup led by his trusted ally General Augusto Pinochet."," Salvador Allende was overthrown in a coup d'etat led by General Augusto Pinochet in 1973 . Pinochet had carried out a vicious coup against the reformist, social-democratic government of Allende . He subsequently served as an adviser to the leftist President of Chile .","We also raised the question of Pinochet in Chile, who in 1973 had carried out a vicious coup against the reformist, social-democratic government of Salvador Allende. On 11 September 1973, Allende was overthrown in a coup d'etat led by General Augusto Pinochet."
556,5,"In addition, United States leaders estimated the number of Soviet troops on Cuba to be only around 10,000.
At the time the United States thought there were 10,000 Soviet troops in Cuba.
Military intelligence calculated 10,000 Soviet troops on the island plus an additional 100,000 Cubans.
Soviet and Cuban troop number estimates on Cuba were around 10,000 and 100,000.
They also only estimated that there were 10,000 Soviet soldiers in Cuba, not the 40,000 that were actually there.
Cuban and Soviet troop numbers were estimated to be between 10,00-100,000 troops.
U.S. leaders estimated the number of Soviet troops on Cuba to be only around 10,000."," At the time the United States thought there were 10,000 Soviet troops in Cuba . Cuban and Soviet troop numbers were estimated to be between 10,00-100,000 troops . U.S. leaders estimated the number of Soviet troops on Cuba to be only around 10 ,000 .","Military intelligence calculated 10,000 Soviet troops on the island plus an additional 100,000 Cubans. U.S. leaders estimated the number of Soviet troops in Cuba to be only around 10,00. Cuban and Soviet troop numbers were estimated to be between 10,100-100,000 troops."
568,5,"President John F Kennedy declared a naval quarantine of the island in October 1962.
On October 22, 1962, President Kennedy announced a quarantine of the island.
Kennedy announced the blockade, labeled a “quarantine,” in a televised address on October 22.
For instance, on Monday, October 22, Kennedy announced a quarantine of the island, virtually a naval blockade.
On Monday, October 22, Kennedy announced a quarantine of the island, virtually a naval blockade.
President Kennedy also announced the quarantine of the island in October."," John F Kennedy declared a naval quarantine of the island in October 1962 . The blockade, labeled a ‘quarantine,” was declared in a televised address on October 22 . On Monday, October 22, Kennedy announced a quarantine, virtually a naval blockade .","On October 22, 1962, President Kennedy announced a quarantine of the island. Kennedy announced the blockade, labeled a “quarantine,” in a televised address on October 22. The blockade was virtually a naval blockade. The island was quarantined for six months."
616,5,"Within the past week, unmistakable evidence has established the fact that a series of offensive missile sites is now in preparation on that imprisoned island.
Within the past week, unmistakable evidence has established that a series of offensive missile sites is now in preparation on Cuba.
Unmistakable evidence has established the fact that a series of offensive missile sites is now in preparation on that imprisoned island.
Within the past week, unmistakable evidence has established the fact that a series of offensive missiles sites is now in preparation of that imprisoned island.
Unmistakable evidence has established the fact that a series of offensive missile sites are now in preparation on that imprisoned island.
Evidence has established the fact that a series of offensive missiles sites is now in preparation of that imprisoned island.
In the past week, unmistakable evidence has established the fact that a series of offensive missile sites is now in preparation on that imprisoned Island."," Within the past week, unmistakable evidence has established the fact that a series of offensive missile sites is now in preparation on that imprisoned island . The Cuban government has been unable to reach out to the White House to discuss the situation in advance of the Cuban government .","Evidence has established the fact that a series of offensive missile sites is now in preparation of that imprisoned island. Within the past week, unmistakable evidence has established that a number of offensive missiles sites is in preparation on Cuba. The U.S. State Department has confirmed that it is working with the Cuban government to prepare missile sites."
635,5,"I have directed the continued and increased close surveillance of Cuba and its military buildup.
Second, I have directed the continued and increased close surveillance of Cuba and its military buildup.
The United States would continue and increase surveillance of Cuba and its military buildup.
He also directed increased close surveillance of the military buildup in Cuba.
I have directed the continued and increased close surveillance of Cuba and its military buildup… Read the full speech.", I have directed the continued and increased close surveillance of Cuba and its military buildup . The United States would continue and increase surveillance of the military buildup in Cuba . Read the full speech . Read it out here: President Obama said the U.S. would continue to increase surveillance .,The United States would continue and increase surveillance of Cuba and its military buildup. I have directed the continued and increased close Surveillance of Cuba. I also directed increased close surveillance of the military buildup in Cuba. Read the full speech at CNN.com.
636,5,"The foreign ministers of the OAS, in their communiqué of October 6, rejected secrecy on such matters in this hemisphere.
The foreign ministers of the OAS, in their communiqué of October 6th, rejected secrecy on such matters in this hemisphere.
The Foreign Minister of the Organization of American States in their communiqué of October 3 rejected secrecy on such matters in this Hemisphere.
The foreign ministers of the OAS, in their communique of October 6, rejected secrecy in such matters in this hemisphere.
The Foreign Ministers of the OAS rejected secrecy on such matters in this Hemisphere.
Foreign ministers of the OAS rejected secrecy on such matters in this hemisphere."," The foreign ministers of the OAS, in their communiqué of October 6, rejected secrecy on such matters in this hemisphere . The foreign minister of the Organization of American States in their . communique of October 3 rejected secrecy . The Foreign Ministers of the . OAS rejected secrecy in such matters .","The foreign ministers of the OAS, in their communiqué of October 6, rejected secrecy on such matters in this hemisphere. The Foreign Minister of the Organization of American States in their. communiques of October 3 and October 6 rejected secrecy."
642,5,"Our resolution will call for the prompt dismantling and withdrawal of all offensive weapons in Cuba, under the supervision of United Nations observers, before the quarantine can be lifted.
The proposed resolution required the prompt dismantling and withdrawal of all ‘offensive’ weapons in Cuba, under UN supervision.
The American resolution called for the immediate dismantling and withdrawal of offensive weapons from Cuban soil under UN supervision.
Our resolution will call for the prompt dismantling and withdrawal of all offensive weapons in Cuba, under the supervision of UN observers, before the quarantine can be lifted.
Security Council demands prompt dismantling and withdrawal of all offensive weapons in Cuba under United Nations supervision before quarantine would be lifted.
UN resolution calls for the prompt dismantling and withdrawal of all offensive weapons in Cuba.", Security Council demands prompt dismantling and withdrawal of all offensive weapons in Cuba under UN supervision before quarantine can be lifted . The American resolution called for the immediate dismantling and . withdrawal of offensive weapons from Cuban soil under UN . UN observers would be required before quarantine could be lifted from Cuba .,"The proposed resolution required the prompt dismantling and withdrawal of all ‘offensive’ weapons in Cuba, under UN supervision. The American resolution called for the immediate dismantling and. withdrawal of offensive weapons from Cuban soil under UN. supervision. Our resolution will call for the prompt. dismantling and withdrawals of all offensive weapons in. Cuba. before the quarantine can be lifted."
672,5,"Despite this, the rapid development of long-range missile bases and other offensive weapons systems in Cuba has proceeded.
However, work on the missiles which were already in Cuba continued at a feverish pace in order to increase the number of operational missile sites.
The development of ballistic missile sites in Cuba continues at a rapid pace.
Construction on the missile sites in Cuba continues at an accelerated pace.
Work on the missiles which were already in Cuba continued at a feverish pace in order to increase the number of operational missile sites.
Work on missile sites in Cuba continued at what appeared to be an accelerated pace.
Construction on missile sites in Cuba continues at an accelerated pace."," The development of ballistic missile sites in Cuba continues at a rapid pace . Despite this, the rapid development of long-range missile bases and other offensive weapons systems in Cuba has proceeded . However, work on the missiles which were already in Cuba continued at a feverish pace .","Work on the missiles which were already in Cuba continued at a feverish pace in order to increase the number of operational missile sites. Despite this, the rapid development of long-range missile bases and other offensive weapons systems in Cuba has proceeded."
