dyad_markdown	cameo_label	date	mean_goldstein	n
Abd al-Rab Mansur al-Hadi->United Nations	express intent to mediate	2015-01-21	5	1
Abdelaziz Bouteflika->France	rally support on behalf of	2015-01-07	3.8	2
Abdelaziz Bouteflika->France	rally support on behalf of	2015-01-08	3.8	1
Abdelkader Taleb Oumar->France	appeal for policy change	2014-02-28	-0.3	1
Abdulla Yameen->Malaysia	reduce or break diplomatic relations	2014-12-06	-4	2
Abdulla Yameen->Malaysia	reduce or break diplomatic relations	2014-12-07	-4	4
Abdullah Abdullah->United Nations	appeal to engage in or accept mediation	2014-06-20	4	2
Abdullah Abdullah->United Nations	appeal to engage in or accept mediation	2014-06-21	4	1
Abdullah Abdullah->United Nations	appeal to engage in or accept mediation	2014-06-23	4	1
Abdullah Abdullah->United Nations	express intent to accept mediation	2014-06-21	7	3
Abdullah Abdullah->United Nations	express intent to accept mediation	2014-06-22	7	1
Abu Sayyaf->Citizen (Germany)	abduct, hijack, or take hostage	2014-09-29	-9	2
Abu Sayyaf->Citizen (Germany)	abduct, hijack, or take hostage	2014-10-12	-9	1
Abu Sayyaf->Citizen (Germany)	abduct, hijack, or take hostage	2014-10-16	-9	1
Abu Sayyaf->Citizen (Germany)	abduct, hijack, or take hostage	2014-10-17	-9	3
Abu Sayyaf->Citizen (Germany)	abduct, hijack, or take hostage	2014-10-23	-9	1
Abu Sayyaf->Citizen (Germany)	return, release person(s)	2014-10-17	7	3
Abu Sayyaf->Citizen (Germany)	return, release person(s)	2014-10-18	7	3
Abu Sayyaf->Citizen (Germany)	return, release person(s)	2014-10-30	7	1
Abu Sayyaf->Citizen (Germany)	threaten with military force	2014-09-25	-7	2
Abu Sayyaf->Citizen (Germany)	threaten with military force	2014-09-30	-7	1
Abu Sayyaf->Citizen (Germany)	threaten with military force	2014-10-01	-7	1
Abu Sayyaf->Citizen (Germany)	threaten with military force	2014-10-12	-7	1
Abu Sayyaf->Citizen (Germany)	threaten with military force	2014-10-16	-7	2
Abu Sayyaf->Citizen (Germany)	threaten with military force	2014-10-17	-7	4
Abu Sayyaf->Citizen (Germany)	threaten with military force	2014-10-18	-7	1
Activist (France)->gov (France)	demonstrate for policy change	2014-02-22	-6.5	1
Activist (Germany)->Angela Merkel	complain officially	2014-02-03	-2	1
Activist (Morocco)->Citizen (France)	bring lawsuit against	2014-02-25	-2	2
