cluster,sentence,position
37,"After a negative response, he pointed to their bad vision and claimed he could see the change of guard next to American missiles targeting Soviet cities, saying, “probably this summer house is put on the map too”.115 According to contemporaries as well as Khrushchev’s own explanations, the main reason for sending missiles to Cuba was his genuine desire to protect the Cuban revolution.
Khrushchev suggests that his primary motive was the defense of Cuba against possible American invasion, but he also concedes that such an effort would redress the strategic balance of power and counter US deployments of nuclear missiles and strike aircraft around the USSR.4  Khrushchev's recollection of the chronology of events was mistaken as there is evidence mat discussion of the Cuban missile deployment had begun in late April, several weeks before the mid-May Bulgarian visit.
Soviet Premier Nikita Khrushchev's primary motivation appears  to have been to defend Cuba against continuing American-sponsored  attacks by anti-Castro forces and the very real possibility of an American invasion.
Through this measure, Soviet Premier Nikita Khrushchev sought to defend Cuba; counter the threat raised by the Jupiter missiles America recently placed in Turkey; and bolster Moscow's leadership of the Communist world, which China's Mao Zedong had begun to challenge.
When Castro asked for conventional missiles to defend Cuba, Khrushchev saw an opportunity.
When, in the late spring of 1962, Khrushchev offered to bring Cuba firmly within the Soviet Union's orbit and to deploy nuclear missiles under Soviet control, Castro, who with good reason feared for his life and for his regime, enthusiastically accepted the proposition.",0.19512999774139683
19,"As President Bush attempts to muster support to oust Saddam Hussein, former members of the Kennedy administration will come to Cuba to revisit another threatened strike -- when the discovery of Soviet missiles on the island brought the world to the brink of nuclear war in 1962.
As President Bush musters support to oust Saddam Hussein, former members of the Kennedy administration will come to Cuba to revisit another tense moment in time -- when the discovery of Soviet missiles on the island brought the world to the brink of nuclear war in 1962.
President John Kennedy had learned about a week earlier that Cuba had Soviet missiles capable of reaching the United States.
THE UNITED STATES, THE SOVIET  UNION, AND CUBA  On October 22,1962, President John F Kennedy announced to an unsuspecting public that Soviet missiles had been discovered in Cuba.
THIRTY years ago today, United States President John F Kennedy announced the discovery of Soviet strategic missile bases under construction in Cuba and demanded their removal.
When the Kennedy administration discovered Soviet missiles being introduced into Cuba, they found it an ‘obvious’ threat to United States security.",0.21572776767193516
30,"In Nikita Khrushchev’s 1970s’ memoirs, the Soviet premier had emphasized Cuban defense as his primary motive, and he brieºy suggested the desire for en- hanced Soviet missile power as an additional purpose.
Khrushchev himself said that with the US’s sincere assurances on Cuban security, “the motives which prompted the Soviet side to help Cuba are no longer relevant”.141 From such a vantage point, the Soviet Union achieved its aims.
Khrushchev suggests that his primary motive was the defense of Cuba against possible American invasion, but he also concedes that such an effort would redress the strategic balance of power and counter US deployments of nuclear missiles and strike aircraft around the USSR.4  Khrushchev's recollection of the chronology of events was mistaken as there is evidence mat discussion of the Cuban missile deployment had begun in late April, several weeks before the mid-May Bulgarian visit.
Soviet Premier Nikita Khrushchev's primary motivation appears  to have been to defend Cuba against continuing American-sponsored  attacks by anti-Castro forces and the very real possibility of an American invasion.
Through this measure, Soviet Premier Nikita Khrushchev sought to defend Cuba; counter the threat raised by the Jupiter missiles America recently placed in Turkey; and bolster Moscow's leadership of the Communist world, which China's Mao Zedong had begun to challenge.
When Castro asked for conventional missiles to defend Cuba, Khrushchev saw an opportunity.",0.2427398036521493
50,"Kenneth Keating began to claim that the Soviets were deploying nuclear missiles to Cuba, and to call for military coun- termeasures, a Cuban delegation traveled to Moscow to propose that Moscow and Havana go public with the deployment.
Lechuga informs us that, at the end of May 1962, a Soviet delegation traveled to Cuba and offered the Cuban government deployment of nuclear weapons in the island.
Soviet Military Deployments to Cuba  In early June of 1962 Fidel Castro approved the Soviet Union’s request to base military forces on its soil.
Soviet officials also decide that a large contingent of Soviet combat forces should be sent to Cuba.
The Russians Act  It was in this context that the Soviet Union decided to place nuclear missiles in Cuba.
The Soviet Union secretly placed nuclear-armed missiles in Cuba, thus upsetting the balance of power.",0.2900052199071807
2,"If a pledge not to invade Cuba was truly Khrushchev's goal, a less formidable strategic force - for example, one capable of hitting Miami or even parts of the southeastern United States -would have been preferable in every respect.
If all that Khrushchev sought was the defense of Cuba less formidable strategic force-one capable of hitting only parts of the sout eastern United States-would have been preferable; it would have helped allay American anxieties.
It now appears that Khrushchev was moved primarily by defensive concerns; he was intent on defending Cuba, offsetting American strategic superiority, and reducing, or at least equalizing, the vulnerability created by the deployment of American strategic weapons on the  11   Soviet periphery.
Khrushchev's motives for the deployment now appear to have been primarily defensive, reflecting deep anxiety about Soviet strategic nuclear inferiority and the vulnerability of Cuba to an American invasion.
So Khrushchev decided to position medium-range nuclear-armed missiles in Cuba, increasing the threat to the United States and thus strengthening the Soviet ability to deter American actions—such as invading Cuba—that worried Soviet leaders.
The Soviet leader claimed the missiles were to help defend Cuba against a likely United States invasion.",0.2928830575905111
5,"After a week of secret President John F Kennedy thought the deliberations with his most trusted advisers, chance of escalation to war was ""between he announced the discovery to the world ι in 3 and even,"" and what we have learned and imposed a naval blockade on further in later decades has done nothing to shipments of armaments to Cuba.
Back-channel negotiations were nuclear escalation, once the missile sites Kennedy was above all concerned incentivised by the realistic prospect of on Cuba had been discovered, Stern to avoid repeating the imbroglio of airstrikes and invasion, using America’s shows how insistent Kennedy was on 1914.
In the months before the missiles were discovered, congressmen, senators and the American media excoriated Kennedy for allowing the conventional Soviet military buildup in Cuba, many demanding an invasion.
On October 22, 1962, President John F Kennedy took to the airwaves to tell Americans that the Soviet Union was installing offensive nuclear missiles into Cuba.
President John F Kennedy informed Americans during a television broadcast on October 22, 1962, that the Soviets had placed missiles on Cuba and that in retalation, the United States would erect a blockade around the island to force Castro and Khrushchev to remove to missiles.
Then-President John F Kennedy demanded the Soviets remove the missiles and ordered a naval blockade of Cuba to prevent further shipments of Soviet missiles.",0.3075882358270184
27,"Eight days later, on Oct., President John F Kennedy told the nation on live television that the Soviets were installing nuclear missiles in Cuba that were capable of striking most United States cities.
President John F Kennedy revealed on Oct. that the Soviets did have ballistic missiles in Cuba aimed at United States cities.
THE UNITED STATES, THE SOVIET  UNION, AND CUBA  On October 22,1962, President John F Kennedy announced to an unsuspecting public that Soviet missiles had been discovered in Cuba.
THIRTY years ago today, United States President John F Kennedy announced the discovery of Soviet strategic missile bases under construction in Cuba and demanded their removal.
When the Kennedy administration discovered Soviet missiles being introduced into Cuba, they found it an ‘obvious’ threat to United States security.
Yet, Soviet missiles in Cuba could also increase the risk of American attack, as well as exposing Cuba to the accusation that it was a Soviet satellite.",0.3081885854679103
55,"As his aide Oleg Troyanovsky saw it at the time, the Soviets were convinced after Kennedy’s evening meeting with Dobrynin on 27 October that the United States was about to invade Cuba and would do so if the Soviets turned down Kennedy’s offer.
In that 27 October meeting, Kennedy made clear to Dobrynin that the United States was ready to take out the Soviet missiles in Cuba by force.
Kennedy, that Nikita Khrushchev had secretly placed nuclear  missiles in Castro's Cuba and that an unprecedented United States show-  down with Moscow was at hand.
Moreover, Kennedy and his advisors recognized this as a possible Soviet motive for placing missiles in Cuba.
Rather optimistically, he calculated that Kennedy and his advisers would find the prospect of nuclear war over the Cuban missiles so horrifying that despite their chagrin, once the missiles were in place, they would accept their presence in Cuba.
Then, on October 22, President Kennedy addressed the nation, announcing that the Soviet Union had installed long-range nuclear missiles in Cuba and demanding their withdrawal.",0.32924872343647926
17,"Castro urged Khrushchev to launch a preemptive nuclear strike against the United States.
On October 26, Fidel Castro, the Cuban leader, urged Khrushchev to launch a nuclear strike against America.
Quite simply that Castro recommended to Khrushchev, in a letter dated Oct., 1962, that he launch a nuclear strike against the United States if the United States military attempted to invade the island to neutralize the nuclear missiles the Soviets were installing.
Shortly afterwards - in late May - Khrushchev proposed to Castro the deployment of strategic nuclear missiles to Cuba.
The Soviet officials at the that Khrushchev intended to send nuclear weapons to Cuba.
This had come in the aftermath of Khrushchev's agreeing to Cuba's request to place nuclear missiles on the island in order to deter any invasion.",0.3425240143095959
43,"Amuchastegui is probably correct to infer that the information did not come from Soviet intelligence, since Castro issued precisely the same warning to Khrushchev.
As Castro made a similar claim to Khrushchev in his letter of that same night, it seems unlikely that his source was Soviet intelligence.
Castro's criticism of Khrushchev was for putting the missiles in secretly.
Kennedy's advisers who began warning in August 1962 that Soviet Premier Nikita Khrushchev was capable of putting missiles in Cuba.
Khrushchev developed the idea of deploying missiles in Cuba in May 1962.
This came as Soviet leader Nikita Khrushchev agreed to Cuba’s request to place nuclear missiles on the island after the failed US-led Bay of Pigs invasion of 1961.",0.34253024556547695
