do_actor_a,do_actor_b,condition_interact_location,condition_interact_location_other,norm_name
u.s.,panama,Another Territory,de coto (disputed territory),NA
u.k.,turkey,Another Territory,neutral zone drawn around the city of chanak,NA
u.k.,turkey,On Border Between,mosul,Iraq
nicaragua,NA,Target,nicaragua,NA
league of nations,peru,Target,leticia,NA
italy,austria,Target,austria,Austria
italy,germany,Target,austria,Austria
italy,ethiopia,Target,portion of southern ethiopia,NA
italy,ethiopia,Target,area near italian somaliland,NA
u.s.,china,NA,quemoy and matsu,Kinmen;Nangan
east germany,NA,Actor,west berlin,NA
ussr,us,On Border Between,west berlin,NA
ussr,u.k.,On Border Between,west berlin,NA
ussr,france,On Border Between,west berlin,NA
thailand,pathet lao,Target,within 10 miles of thakek,NA
tunisia,france,Target,bizerta,Tunisia
china,india,On Border Between,near chinese border,NA
south vietnam,north vietnam,Target,south vietnam,South Vietnam
south vietnam,u.s.,Target,south vietnam,NA
cuba,angola,Target,cunene,NA
cuba,angola,Target,cuando-cubango,NA
ussr,angola,Target,cunene,NA
ussr,angola,Target,cuando-cubango,NA
ussr,mozambique,Target,mozambique,NA
u.s.,libya,Coast of Actor,mediterranean sea,NA
libya,us,Coast of Target,libya's territorial waters,NA
libya,us,Coast of Target,gulf of syrtre,NA
argentina,u.k.,Another Territory,falkland islands,Falkland Islands
angola,swapo,Target,angola,NA
india,pakistan,Target,kashmir,Kashmir
u.k.,iraq,Target,kuwait,NA
u.s.,iraq,Target,kuwait,Kuwait
uae,iraq,Target,kuwait,NA
france,iraq,Target,kuwait,NA
saudi arabia,iraq,Target,kuwait,NA
israel,iraq,Target,kuwait,NA
croatia,yugoslavia,NA,croatia,NA
croatia,yugoslavia,NA,slovenia,NA
slovenia,yugoslavia,NA,croatia,NA
slovenia,yugoslavia,NA,slovenia,NA
croatia,yugoslavia,Target,croatia,Croatia
myanmar,thailand,Actor,"sleeping dog hill near manerplaw, thailand",NA
north korea,iaea,Actor,south korea,NA
pakistan,india,NA,pakistan,NA
thailand,myanmar,Target,thailand,Thailand
spain,morocco,Another Territory,parsley island,Perejil Island
u.k.,iraq,Actor,iraq,NA
u.s.,iraq,Actor,iraq,Iraq
